Idade,Gênero,Série,Média de Notas,Frequência,Participação em Atividades Extracurriculares,Motivo da Evasão,Renda Familiar,Localização
17,Masculino,3,8.5,67.7%,Sim,0,922,Rural
15,Feminino,3,7.5,76.7%,Não,Problemas Financeiros,4526,Rural
17,Feminino,2,8.2,57.4%,Sim,0,4366,Rural
16,Masculino,3,9.5,62.4%,Não,Outros,1861,Urbana
16,Masculino,2,6.2,53.6%,Não,0,3087,Urbana
14,Feminino,1,6.1,98.9%,Sim,0,4490,Rural
14,Masculino,3,9.1,72.1%,Não,0,1338,Rural
18,Masculino,3,9.6,92.0%,Não,Falta de Interesse,1487,Rural
16,Feminino,1,9.3,70.4%,Não,0,4334,Rural
19,Masculino,1,5.5,94.9%,Não,Outros,892,Urbana
18,Feminino,1,5.9,65.4%,Sim,Problemas Familiares,3296,Rural
16,Masculino,1,6.5,71.3%,Sim,0,1730,Urbana
18,Feminino,3,9.2,60.7%,Sim,0,4888,Rural
17,Masculino,1,5.4,87.0%,Sim,Falta de Apoio Escolar,1324,Rural
16,Feminino,2,5.4,59.9%,Sim,Falta de Interesse,2417,Urbana
19,Feminino,3,6.5,79.8%,Não,0,2421,Urbana
19,Masculino,1,5.2,83.8%,Não,0,1120,Urbana
15,Feminino,1,5.8,94.2%,Sim,0,2494,Urbana
14,Masculino,1,9.0,63.4%,Não,Falta de Apoio Escolar,4139,Rural
16,Masculino,3,5.6,71.7%,Não,0,3915,Urbana
16,Feminino,2,5.7,77.4%,Não,Problemas Familiares,3155,Urbana
16,Feminino,1,6.9,93.0%,Não,0,2774,Urbana
15,Feminino,3,8.3,52.9%,Não,Outros,834,Rural
14,Masculino,1,6.1,60.0%,Sim,0,2282,Urbana
16,Feminino,3,8.2,88.7%,Sim,Problemas Familiares,1097,Urbana
15,Masculino,1,9.8,99.6%,Não,Falta de Interesse,3792,Rural
14,Masculino,2,6.1,71.6%,Sim,Problemas Familiares,3837,Urbana
18,Feminino,2,8.4,62.8%,Não,Falta de Interesse,3953,Urbana
18,Masculino,2,6.4,54.3%,Não,0,1880,Rural
14,Masculino,3,7.4,91.8%,Não,0,895,Rural
18,Masculino,2,9.4,61.5%,Sim,0,3447,Rural
16,Feminino,3,7.6,69.6%,Não,Outros,864,Rural
18,Masculino,3,6.8,63.9%,Não,0,1885,Rural
16,Feminino,3,7.1,94.3%,Não,Falta de Apoio Familiar,4651,Urbana
14,Feminino,3,9.4,94.4%,Não,0,1187,Urbana
18,Feminino,2,6.2,52.0%,Sim,0,4924,Rural
19,Masculino,1,6.1,85.8%,Não,0,2356,Rural
17,Masculino,3,5.7,75.8%,Sim,0,3500,Rural
15,Feminino,3,7.1,64.2%,Não,0,2822,Urbana
17,Feminino,3,8.4,70.7%,Sim,0,2062,Urbana
19,Masculino,2,9.9,97.4%,Não,0,856,Rural
17,Masculino,1,6.8,88.3%,Sim,0,2436,Rural
18,Masculino,2,8.7,95.3%,Não,0,4451,Rural
14,Feminino,3,9.6,62.2%,Não,0,1285,Urbana
15,Masculino,2,7.9,88.1%,Sim,Falta de Interesse,4381,Rural
14,Masculino,3,6.6,57.2%,Não,0,1635,Urbana
15,Masculino,3,6.0,89.2%,Sim,0,4051,Urbana
16,Masculino,3,5.7,65.7%,Não,0,3990,Urbana
16,Masculino,2,5.9,76.4%,Não,Problemas de Saúde,3873,Urbana
17,Feminino,1,9.4,85.3%,Não,Problemas de Saúde,1126,Rural
14,Masculino,2,5.1,59.2%,Não,0,975,Urbana
19,Masculino,1,7.5,86.4%,Sim,Problemas Financeiros,3011,Urbana
18,Feminino,3,9.8,73.4%,Não,Falta de Interesse,3401,Urbana
16,Feminino,1,9.5,75.1%,Sim,0,2414,Rural
15,Masculino,2,8.2,59.4%,Sim,0,2590,Urbana
14,Masculino,3,7.2,66.9%,Não,0,2347,Rural
17,Feminino,1,8.1,86.2%,Sim,0,3168,Rural
14,Masculino,2,9.4,95.8%,Sim,0,1712,Urbana
15,Masculino,1,9.8,61.4%,Sim,0,2102,Urbana
18,Masculino,2,8.1,76.0%,Sim,0,3989,Urbana
15,Feminino,2,6.8,78.7%,Não,0,3039,Urbana
15,Masculino,1,7.6,79.1%,Sim,0,4315,Urbana
15,Masculino,1,7.4,90.2%,Não,0,1931,Urbana
18,Masculino,3,9.3,57.3%,Não,0,1466,Urbana
18,Feminino,2,6.1,63.8%,Não,Falta de Apoio Escolar,3902,Urbana
17,Feminino,2,8.3,85.3%,Sim,0,1478,Urbana
18,Feminino,3,6.4,97.7%,Sim,Falta de Interesse,2857,Rural
16,Masculino,1,8.9,58.5%,Sim,Falta de Apoio Familiar,3553,Urbana
15,Feminino,2,8.4,92.8%,Sim,Falta de Interesse,857,Rural
15,Masculino,2,8.8,97.3%,Sim,0,4751,Urbana
19,Feminino,3,9.7,71.0%,Sim,0,2916,Rural
19,Masculino,1,5.4,55.7%,Não,0,3721,Urbana
16,Masculino,2,6.2,78.2%,Não,0,4802,Rural
14,Masculino,1,8.3,67.6%,Sim,0,2973,Urbana
19,Feminino,3,5.8,89.5%,Sim,Outros,4200,Urbana
15,Feminino,3,5.4,86.4%,Sim,Outros,1140,Urbana
15,Masculino,2,6.7,51.7%,Sim,0,3372,Urbana
19,Feminino,3,9.4,68.3%,Sim,Problemas Financeiros,3113,Urbana
14,Feminino,2,7.4,56.3%,Sim,0,3921,Rural
17,Feminino,2,9.7,76.9%,Não,0,979,Urbana
17,Feminino,1,9.8,50.5%,Sim,0,2222,Rural
15,Masculino,3,5.6,91.4%,Sim,0,2744,Urbana
19,Masculino,2,9.5,81.7%,Sim,0,3326,Rural
15,Feminino,1,6.0,80.5%,Não,Problemas Familiares,3826,Urbana
18,Feminino,1,5.9,67.7%,Sim,Falta de Apoio Familiar,1697,Rural
16,Feminino,1,6.3,88.2%,Sim,Problemas de Saúde,2119,Urbana
14,Masculino,2,9.1,71.0%,Não,Falta de Interesse,2826,Urbana
15,Feminino,2,8.5,93.9%,Não,Problemas Familiares,4632,Rural
19,Feminino,2,7.1,67.3%,Sim,0,2052,Urbana
17,Feminino,2,6.2,76.2%,Não,Problemas de Saúde,2824,Urbana
15,Feminino,3,9.9,58.7%,Sim,0,3017,Urbana
16,Masculino,1,6.3,65.3%,Sim,0,2734,Urbana
16,Masculino,2,8.5,88.2%,Sim,0,3261,Rural
18,Masculino,1,8.1,61.7%,Sim,Problemas de Saúde,4326,Rural
17,Masculino,1,6.6,82.3%,Sim,Problemas Familiares,3148,Rural
14,Feminino,1,8.3,79.3%,Não,Falta de Interesse,1827,Rural
15,Feminino,2,7.6,52.8%,Não,0,4696,Urbana
15,Feminino,2,5.8,81.7%,Sim,Problemas Familiares,4727,Urbana
18,Masculino,1,6.7,99.0%,Sim,0,1190,Rural
14,Feminino,1,8.1,91.7%,Sim,Falta de Apoio Familiar,4177,Rural
17,Masculino,3,9.3,61.6%,Não,0,2533,Urbana
18,Masculino,1,5.9,90.0%,Não,0,4469,Rural
18,Feminino,3,9.7,87.7%,Sim,0,3781,Rural
15,Feminino,2,6.3,91.5%,Sim,0,1576,Urbana
18,Feminino,3,9.4,72.4%,Não,Problemas Financeiros,2475,Rural
19,Masculino,1,5.8,93.2%,Sim,Problemas Financeiros,848,Rural
18,Masculino,2,8.8,53.4%,Sim,Problemas Financeiros,4017,Urbana
17,Feminino,2,6.1,73.8%,Sim,Falta de Interesse,2428,Rural
18,Masculino,3,8.6,87.0%,Não,Outros,1203,Urbana
17,Feminino,3,7.3,65.8%,Sim,Falta de Apoio Familiar,3729,Rural
17,Masculino,1,7.8,88.3%,Sim,0,1989,Rural
19,Feminino,1,5.1,53.9%,Não,Falta de Apoio Familiar,833,Urbana
15,Feminino,2,9.6,50.0%,Sim,0,3824,Rural
14,Masculino,1,8.6,92.7%,Sim,0,2079,Urbana
16,Masculino,1,6.4,92.5%,Não,Falta de Apoio Escolar,1339,Urbana
14,Masculino,3,6.9,70.1%,Sim,0,4670,Urbana
16,Masculino,2,6.6,95.2%,Sim,0,4787,Rural
14,Feminino,2,7.0,53.9%,Não,Problemas Financeiros,2425,Urbana
15,Masculino,3,5.7,97.7%,Sim,0,2688,Rural
19,Feminino,3,5.8,88.0%,Não,Problemas Familiares,4384,Urbana
16,Masculino,3,5.3,96.6%,Sim,0,4603,Rural
17,Feminino,1,6.7,79.0%,Não,Problemas Familiares,4049,Urbana
17,Masculino,1,8.0,61.8%,Não,0,1414,Rural
16,Masculino,1,7.7,59.8%,Não,0,838,Urbana
17,Masculino,1,8.2,55.8%,Não,0,1964,Urbana
19,Masculino,3,5.8,65.5%,Não,0,4266,Rural
14,Masculino,3,9.8,64.7%,Não,0,3563,Urbana
15,Feminino,2,7.4,63.9%,Não,0,1251,Urbana
17,Feminino,1,5.9,56.0%,Sim,0,1165,Rural
17,Masculino,3,5.4,79.9%,Não,0,2093,Urbana
14,Feminino,3,8.4,61.2%,Não,0,4172,Rural
18,Feminino,1,5.5,82.5%,Sim,0,1014,Urbana
19,Masculino,1,5.4,77.7%,Sim,Outros,4928,Urbana
15,Feminino,2,8.0,71.7%,Sim,Falta de Interesse,2170,Urbana
16,Masculino,3,5.0,52.4%,Não,Falta de Interesse,4500,Rural
18,Masculino,3,6.8,56.4%,Não,0,1806,Rural
17,Feminino,3,9.8,69.3%,Não,Problemas Financeiros,3901,Rural
18,Masculino,1,6.2,79.3%,Não,Falta de Apoio Escolar,1167,Urbana
18,Masculino,3,7.0,98.6%,Sim,Outros,1676,Urbana
14,Masculino,3,8.7,52.6%,Não,0,4550,Urbana
18,Feminino,2,7.1,99.7%,Não,Problemas Financeiros,1855,Urbana
17,Masculino,1,5.7,94.4%,Não,0,1067,Urbana
15,Feminino,2,9.4,61.0%,Não,0,1992,Urbana
19,Feminino,3,9.6,77.4%,Não,0,1099,Rural
14,Masculino,3,7.8,55.4%,Sim,Problemas Financeiros,4381,Rural
14,Feminino,2,7.5,90.4%,Sim,0,4253,Rural
15,Feminino,3,8.9,69.2%,Não,0,4340,Urbana
17,Feminino,3,7.7,85.6%,Não,0,1851,Urbana
18,Masculino,1,6.8,96.8%,Sim,0,1729,Rural
18,Feminino,1,5.7,55.6%,Não,Problemas de Saúde,1419,Urbana
18,Feminino,1,7.6,95.4%,Não,0,1087,Urbana
17,Masculino,2,5.8,71.3%,Sim,0,1875,Rural
18,Masculino,2,5.2,87.3%,Sim,0,2092,Rural
18,Masculino,3,6.6,76.8%,Sim,0,3784,Rural
17,Feminino,3,6.3,97.7%,Não,Problemas de Saúde,2353,Urbana
15,Feminino,3,7.2,75.2%,Sim,0,1605,Rural
15,Feminino,1,5.9,92.4%,Sim,0,1945,Urbana
15,Feminino,1,6.2,63.9%,Sim,Problemas Familiares,2696,Urbana
14,Feminino,1,5.4,57.4%,Sim,Problemas Financeiros,2706,Rural
18,Feminino,2,8.3,88.3%,Sim,Problemas Financeiros,4889,Rural
19,Masculino,2,7.3,79.1%,Não,Falta de Apoio Escolar,1192,Rural
15,Masculino,3,7.3,56.0%,Sim,0,3933,Rural
18,Masculino,3,8.3,72.7%,Sim,0,3810,Rural
17,Masculino,1,9.4,61.2%,Sim,0,2362,Urbana
18,Feminino,2,6.9,65.0%,Sim,Falta de Apoio Escolar,1947,Rural
17,Feminino,2,7.7,75.3%,Não,0,1597,Urbana
19,Masculino,1,7.0,69.9%,Sim,0,1220,Urbana
19,Masculino,2,5.8,98.1%,Não,0,2877,Rural
18,Masculino,2,9.4,95.1%,Sim,Problemas de Saúde,1880,Urbana
16,Feminino,2,9.6,67.5%,Sim,Problemas de Saúde,1750,Rural
18,Masculino,2,5.1,59.8%,Sim,0,1921,Rural
14,Masculino,2,5.2,93.5%,Não,0,4395,Rural
15,Feminino,1,7.6,98.9%,Não,0,1348,Rural
16,Masculino,1,5.5,56.0%,Sim,0,3091,Urbana
14,Feminino,1,8.7,55.5%,Não,0,3868,Rural
18,Masculino,3,5.9,82.9%,Sim,0,828,Urbana
15,Masculino,3,9.9,87.3%,Sim,0,2240,Urbana
16,Masculino,2,9.8,79.8%,Não,Falta de Apoio Familiar,2320,Rural
16,Feminino,1,7.2,96.8%,Não,Outros,2478,Urbana
18,Masculino,3,8.9,96.9%,Sim,Outros,1000,Rural
19,Feminino,1,8.4,99.3%,Sim,Problemas de Saúde,4585,Urbana
18,Feminino,2,7.2,56.6%,Sim,Problemas de Saúde,3251,Rural
14,Feminino,3,6.3,98.4%,Sim,Falta de Interesse,2589,Urbana
15,Masculino,1,5.3,89.6%,Não,0,1456,Rural
14,Feminino,2,5.0,79.9%,Sim,0,1982,Rural
16,Feminino,3,7.3,97.9%,Sim,Falta de Interesse,4625,Rural
15,Masculino,1,8.0,74.1%,Sim,Problemas de Saúde,4054,Rural
16,Masculino,2,6.7,96.9%,Sim,0,4309,Rural
16,Feminino,2,9.3,91.1%,Sim,0,1272,Rural
15,Feminino,2,6.4,71.4%,Não,Falta de Interesse,1264,Rural
15,Feminino,3,9.1,60.9%,Sim,Falta de Apoio Familiar,2195,Urbana
14,Masculino,2,9.4,95.4%,Sim,0,3659,Urbana
19,Feminino,1,5.3,57.0%,Não,Outros,3552,Urbana
16,Masculino,3,6.2,80.1%,Não,0,3958,Urbana
19,Masculino,3,9.4,95.0%,Não,Outros,3633,Urbana
15,Feminino,1,5.5,67.7%,Não,0,3595,Rural
18,Feminino,3,9.0,98.1%,Sim,Falta de Apoio Familiar,4916,Rural
15,Feminino,1,6.4,51.0%,Sim,0,968,Rural
15,Masculino,2,7.2,77.0%,Sim,0,4774,Urbana
18,Feminino,1,7.1,64.4%,Sim,0,2844,Rural
14,Masculino,3,7.5,98.3%,Sim,0,1750,Urbana
14,Masculino,1,6.4,58.6%,Não,0,2297,Rural
18,Masculino,3,7.6,83.6%,Sim,0,3124,Rural
14,Masculino,1,6.9,55.3%,Sim,0,1110,Rural
16,Masculino,1,8.3,54.9%,Não,0,4289,Rural
19,Masculino,3,9.0,70.7%,Sim,0,4278,Rural
14,Masculino,2,5.9,72.0%,Sim,0,856,Urbana
15,Masculino,2,6.3,88.8%,Não,0,4882,Urbana
15,Feminino,3,5.5,91.4%,Não,0,2018,Rural
18,Masculino,3,9.6,53.2%,Não,0,2619,Urbana
18,Feminino,2,5.8,82.0%,Não,0,2471,Urbana
15,Feminino,2,9.9,55.1%,Não,0,2790,Urbana
19,Feminino,3,7.4,69.8%,Não,Outros,1703,Urbana
16,Feminino,3,5.2,84.5%,Sim,0,3920,Urbana
16,Feminino,2,8.4,92.1%,Não,Outros,958,Rural
14,Feminino,1,9.2,89.6%,Sim,0,4464,Rural
19,Feminino,1,6.4,64.7%,Não,0,1095,Rural
15,Feminino,3,9.9,80.6%,Sim,0,4031,Urbana
15,Feminino,1,9.0,83.8%,Sim,Falta de Apoio Escolar,2316,Rural
14,Feminino,3,8.3,65.1%,Sim,Outros,3355,Urbana
14,Feminino,1,9.7,91.5%,Sim,Falta de Apoio Escolar,3822,Urbana
17,Masculino,1,8.9,88.8%,Sim,Falta de Apoio Familiar,824,Rural
14,Feminino,1,8.2,82.6%,Não,0,3410,Urbana
19,Masculino,2,7.2,58.7%,Sim,Problemas Financeiros,1452,Rural
15,Masculino,3,5.2,75.1%,Sim,0,4858,Rural
19,Masculino,1,5.2,73.1%,Sim,Outros,3395,Rural
18,Masculino,2,6.1,88.3%,Não,Falta de Apoio Familiar,4123,Urbana
18,Masculino,1,9.4,59.9%,Sim,0,3928,Rural
15,Masculino,3,6.3,98.3%,Não,Falta de Apoio Escolar,4055,Urbana
16,Masculino,1,9.6,51.4%,Sim,0,1080,Urbana
14,Feminino,1,9.4,97.7%,Sim,Falta de Apoio Familiar,4867,Rural
14,Feminino,2,5.0,57.2%,Não,Problemas Financeiros,1286,Urbana
17,Masculino,1,7.5,72.6%,Não,0,1523,Rural
19,Feminino,1,5.1,59.3%,Sim,Problemas de Saúde,3895,Urbana
18,Masculino,2,9.8,65.3%,Não,0,2319,Urbana
14,Masculino,3,8.6,66.2%,Não,0,4845,Urbana
19,Feminino,2,7.4,53.9%,Não,0,2507,Rural
16,Feminino,2,5.4,70.3%,Não,Problemas Familiares,1897,Rural
15,Feminino,1,8.8,62.7%,Sim,0,2423,Urbana
15,Feminino,2,6.3,83.1%,Não,Falta de Interesse,2188,Rural
19,Masculino,2,7.3,97.9%,Sim,0,4394,Urbana
19,Feminino,3,7.3,77.0%,Não,Problemas de Saúde,1322,Urbana
14,Masculino,1,8.0,59.1%,Não,Falta de Interesse,3250,Rural
18,Masculino,2,8.7,83.6%,Sim,0,1814,Urbana
18,Masculino,1,6.5,66.5%,Sim,0,4316,Urbana
19,Masculino,2,7.3,86.1%,Sim,Problemas de Saúde,2697,Urbana
16,Feminino,2,8.4,61.6%,Não,0,1455,Urbana
15,Feminino,3,8.7,59.4%,Não,Falta de Apoio Familiar,4924,Urbana
15,Masculino,3,8.7,81.5%,Sim,0,2882,Urbana
14,Masculino,1,5.3,57.6%,Sim,0,4217,Rural
18,Masculino,2,9.6,82.6%,Sim,0,1949,Rural
17,Feminino,3,8.6,69.9%,Sim,0,1945,Rural
14,Feminino,1,8.0,52.1%,Sim,Problemas Financeiros,3471,Rural
19,Feminino,2,6.5,96.8%,Não,0,4400,Urbana
19,Masculino,1,7.3,76.4%,Sim,0,3482,Rural
18,Feminino,3,9.0,63.6%,Sim,Falta de Apoio Escolar,1066,Urbana
16,Masculino,1,7.1,63.4%,Sim,Falta de Apoio Familiar,1615,Rural
18,Masculino,3,6.3,81.8%,Não,0,2317,Rural
16,Masculino,3,9.8,56.0%,Sim,0,1702,Urbana
16,Feminino,2,8.4,58.6%,Sim,Problemas Financeiros,1606,Urbana
19,Feminino,2,6.8,96.7%,Sim,Falta de Interesse,4261,Urbana
18,Feminino,2,6.8,66.5%,Sim,Problemas Financeiros,1058,Urbana
17,Feminino,1,5.5,93.0%,Não,Problemas de Saúde,1801,Rural
15,Feminino,2,6.8,61.1%,Não,Falta de Apoio Escolar,1105,Rural
18,Feminino,3,7.7,70.7%,Sim,0,1219,Rural
14,Feminino,2,7.9,69.9%,Não,Problemas de Saúde,1992,Rural
17,Feminino,1,6.1,98.8%,Sim,0,4099,Urbana
14,Feminino,1,9.0,75.2%,Não,Problemas Familiares,4163,Rural
16,Feminino,2,6.8,73.8%,Não,0,3340,Rural
16,Masculino,1,6.0,50.6%,Sim,0,4170,Urbana
17,Masculino,2,5.0,65.3%,Sim,0,1947,Urbana
14,Feminino,1,6.0,59.3%,Sim,Outros,4334,Urbana
19,Feminino,1,9.0,94.9%,Sim,Falta de Interesse,1688,Rural
14,Masculino,1,7.5,94.5%,Não,Problemas Familiares,2253,Rural
16,Masculino,3,5.4,67.3%,Não,0,3962,Urbana
15,Feminino,3,5.7,80.7%,Não,Problemas Financeiros,2487,Rural
17,Masculino,1,5.1,96.2%,Sim,Problemas Familiares,1947,Rural
16,Feminino,3,9.0,54.9%,Sim,Outros,2030,Rural
14,Feminino,1,8.6,98.9%,Não,0,2495,Urbana
14,Masculino,3,6.2,77.8%,Não,Falta de Interesse,2602,Rural
17,Masculino,1,8.2,71.4%,Não,0,4116,Rural
15,Masculino,2,8.9,63.9%,Sim,0,3829,Urbana
16,Masculino,1,6.6,77.4%,Sim,Problemas Familiares,2364,Urbana
16,Feminino,3,6.7,89.2%,Sim,0,2826,Urbana
18,Masculino,1,5.5,82.5%,Sim,0,4778,Urbana
16,Masculino,3,6.9,98.3%,Não,0,1808,Urbana
14,Masculino,1,6.0,71.6%,Sim,0,4503,Rural
15,Feminino,3,7.1,97.3%,Sim,Problemas Familiares,1150,Urbana
16,Feminino,1,5.2,51.1%,Não,0,1500,Urbana
14,Feminino,3,6.5,68.7%,Não,Problemas Familiares,1404,Rural
19,Masculino,1,9.5,70.9%,Não,Falta de Apoio Escolar,3511,Rural
19,Feminino,2,7.2,60.3%,Não,0,3821,Rural
19,Masculino,2,8.2,81.7%,Não,Falta de Apoio Escolar,4207,Rural
17,Feminino,1,8.9,66.7%,Sim,Falta de Apoio Familiar,3546,Urbana
18,Masculino,2,8.9,99.4%,Não,0,3003,Urbana
16,Masculino,3,9.3,66.0%,Não,Falta de Apoio Escolar,2512,Rural
14,Feminino,2,5.6,67.9%,Sim,Problemas Financeiros,3321,Rural
15,Masculino,1,10.0,58.9%,Não,0,2873,Rural
18,Masculino,3,8.0,97.3%,Não,0,3255,Rural
14,Masculino,2,9.0,90.4%,Não,Falta de Apoio Familiar,1842,Urbana
15,Feminino,3,5.7,98.2%,Sim,0,3158,Urbana
15,Feminino,1,8.8,76.3%,Não,Problemas de Saúde,3133,Urbana
19,Masculino,2,9.6,52.7%,Não,0,4324,Rural
18,Masculino,1,8.2,99.3%,Não,Falta de Interesse,4034,Rural
14,Masculino,2,7.9,53.7%,Não,0,4577,Rural
18,Feminino,1,8.3,62.6%,Sim,0,3430,Rural
16,Feminino,3,8.5,63.0%,Não,0,2209,Rural
18,Masculino,2,5.8,95.1%,Sim,0,1894,Urbana
16,Feminino,1,9.2,76.7%,Sim,0,3120,Rural
17,Masculino,3,9.5,79.1%,Não,0,3246,Urbana
14,Feminino,2,7.7,97.6%,Não,Problemas Familiares,1426,Urbana
15,Feminino,3,9.4,86.6%,Sim,0,4680,Urbana
16,Masculino,3,9.7,52.0%,Sim,0,957,Rural
16,Feminino,3,8.0,94.6%,Não,Falta de Interesse,2244,Urbana
15,Feminino,1,9.4,79.4%,Sim,Falta de Interesse,3393,Rural
16,Masculino,3,7.9,86.7%,Não,0,1330,Urbana
16,Feminino,1,6.2,56.5%,Não,Problemas Financeiros,1182,Rural
14,Masculino,3,5.9,98.9%,Não,0,4151,Rural
17,Masculino,2,6.9,75.9%,Não,0,2612,Urbana
