Idade_Maior_Que_16,Genero_Feminino,Etnia_Minorizada,Zona_Rural,Renda_Baixa,Pais_Desempregados,Pais_Sem_Educacao_Superior,Baixo_Desempenho_Escolar,Alta_Frequencia_Faltas,Participa_Atividades_Extracurriculares,Escola_Baixa_Qualidade,Distancia_Longa_Escola,Turmas_Superlotadas,Baixas_Expectativas_Familia,Evasao
0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
1,0,1,0,1,0,1,0,0,0,0,1,1,1,0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
0,0,1,0,1,1,1,1,1,1,1,0,0,1,0
0,1,1,1,0,0,1,1,1,0,1,1,1,1,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
1,0,1,1,1,1,1,1,0,1,1,1,0,1,0
1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,0,0,1,1,1,0
0,0,0,1,0,1,1,1,1,1,1,0,1,1,1
1,0,0,1,1,1,1,0,1,1,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
1,1,0,0,1,1,1,1,1,1,0,1,0,1,0
1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,0,1,1,0,1,1,0,1,0
1,1,1,0,0,1,0,1,0,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,1,1,1,1,1,1,0,0
0,1,0,1,0,0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
1,1,0,1,1,1,1,1,0,1,1,0,1,1,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0
0,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1,1,1,1,1,0,0,1,0,1,1,1,1,0,0
1,0,1,1,0,0,0,1,1,1,0,1,1,0,0
1,0,1,1,1,1,0,1,1,0,1,1,1,1,0
1,0,0,0,1,1,1,1,0,1,1,1,1,0,0
1,0,1,1,1,1,1,0,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,0,1,1,0,0
1,1,1,0,1,1,0,1,1,0,0,0,1,1,0
1,0,1,1,1,0,1,0,1,1,1,1,1,1,0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
0,0,1,0,1,1,0,0,0,1,1,1,0,1,0
1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,0,1,1,0,0,1,1,0,1,1,0
1,1,1,1,0,0,1,1,0,1,0,1,1,1,0
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
0,0,1,1,1,1,1,0,1,1,1,0,1,1,1
1,0,0,1,1,1,1,1,0,1,1,0,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,0,1,1,1,0,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
1,0,1,1,0,1,1,1,1,0,1,1,1,1,0
0,1,1,0,0,1,1,1,0,1,1,0,0,1,0
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
1,0,0,1,1,1,1,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,1,1,1,1,1,0,1,1,0,1,1,1,0
1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,0,1,1,1,0,0,0,0,1,1
1,0,0,0,1,0,1,0,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
0,1,1,1,1,1,1,1,0,0,1,1,0,1,0
1,1,1,1,1,0,0,0,1,1,1,0,0,1,0
1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,0,0,1,1,1,1,1,1,0,0,0
1,1,0,1,1,1,0,0,0,1,0,1,0,1,0
0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1,0,1,1,1,1,1,1,0,1,1,1,1,1,0
1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
0,1,0,1,0,1,1,1,1,0,1,0,1,0,0
1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
1,0,1,1,1,0,1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
1,0,1,0,1,1,1,1,0,1,1,0,1,1,0
1,1,1,1,1,0,1,1,1,0,1,1,1,0,0
1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
1,1,1,0,0,0,1,1,1,1,0,1,1,1,0
0,0,1,1,1,1,0,0,0,1,1,1,0,0,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1,0,1,0,1,0,1,1,1,1,1,1,1,1,0
1,0,1,1,0,0,1,1,0,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,1,1,0,0,0,1,1,1,0,1,1,0
1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
1,0,1,0,1,1,1,1,0,0,1,1,1,1,0
1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
1,0,0,1,1,0,1,1,1,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,0,1,1,1,0,1,1,0,0
1,1,0,0,1,1,1,1,0,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
0,0,1,0,1,1,1,1,0,1,1,1,0,1,1
1,0,1,1,1,1,1,1,1,1,0,0,1,1,0
1,0,1,1,1,1,0,0,1,1,0,1,1,1,0
1,0,1,1,1,1,1,0,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0,0,1,0,1,1,1,0
0,1,1,1,0,1,0,1,1,0,1,1,1,1,1
1,0,1,1,0,1,1,0,1,1,0,1,1,1,0
0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
1,0,1,1,1,1,1,0,0,1,0,1,1,1,0
1,0,1,0,1,1,1,1,1,0,1,1,1,1,0
1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
1,0,1,0,1,1,1,0,1,1,1,1,1,1,0
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1,0,1,1,0,1,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
1,0,1,0,0,1,1,1,1,0,1,0,1,1,0
1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,0,1,1,0,1,0,1
0,0,1,0,0,1,1,1,1,1,0,1,0,1,0
1,0,1,0,1,1,1,1,1,1,0,1,1,1,0
1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
1,0,0,1,1,1,1,0,1,0,1,1,0,1,0
0,0,1,1,1,1,1,1,1,1,1,0,1,0,1
0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,0,1,1,0,1,0
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,0,0,1,1,1,0,1,1,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,0,1,1,0,1,1,1,1,1,0,0
0,1,1,1,0,1,1,1,1,0,1,1,0,1,0
1,1,0,1,1,1,1,1,1,0,1,1,0,1,0
1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,1,1,1,1,0,1,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,0,1,1,1,0,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,1,0,1,1,0,1,1,1,1,0,0,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,0,1,1,1,0,1,0,1,1,0,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
1,0,0,1,1,1,1,0,0,1,0,1,0,1,0
0,1,1,1,0,1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
0,0,1,0,1,1,1,1,1,1,0,1,1,1,0
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0
1,0,0,1,0,1,1,1,0,1,1,1,0,1,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0
0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
0,0,1,1,1,1,1,1,0,1,1,0,1,0,0
1,0,1,1,0,1,1,1,1,0,0,1,1,0,1
1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
1,1,1,1,1,1,1,0,1,1,0,0,1,0,0
1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,1,1,1,0,1,1,0,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
1,0,1,1,0,1,1,1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
1,1,1,1,0,1,0,1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,1,1,0,1,1,0,1,0
1,0,1,1,0,1,1,0,1,1,1,1,1,1,0
1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,1,0,0,1,1,1,0,0,1,0,1,1,0
0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
0,0,1,1,0,0,1,1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,1,1,1,1,1,0,1,1,0
1,1,1,0,1,1,1,0,1,1,0,1,1,1,0
1,0,1,1,1,1,0,1,1,1,1,1,0,0,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,0,1,1,0,1,1,1,1,0,0
1,0,1,1,1,1,1,1,0,1,1,0,1,1,0
1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1
1,0,1,0,1,1,1,0,1,1,1,1,1,1,0
1,1,0,1,1,0,0,1,1,1,0,1,1,1,0
1,1,0,0,0,0,1,1,1,0,1,1,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,1,1,1,0,1,0,0,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,0,1,1,1,0,0,1
1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
1,1,1,1,1,0,0,1,0,1,1,0,0,1,0
1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
1,0,1,1,1,1,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0,0,0,0,1,0,1,1,1,1,1,1,0,1,0
0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
1,0,1,0,1,1,0,1,1,1,0,1,1,0,0
1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,1,1,0,0,0,1,1,1,1,1,1,1,0
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
0,1,1,0,1,1,0,1,1,1,1,1,0,1,0
1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1,1,0,1,1,0,0,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
0,1,1,0,1,0,1,1,0,1,1,0,0,0,0
1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
1,0,0,1,1,1,1,0,1,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,0,0,1,1,1,0
1,0,1,1,1,1,0,0,1,1,1,1,1,1,0
0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
0,0,1,0,1,1,1,1,1,1,1,1,0,1,1
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
0,0,1,1,1,1,1,1,1,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
0,1,1,0,1,1,1,0,1,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1,0,0,1,1,1,1,1,1,0,1,1,0,1,1
1,1,1,0,0,1,0,1,1,0,0,1,1,1,0
1,0,1,0,1,1,1,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,1,0,0,1,0,1,0,0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,0,1,1,1,1,0,1,1,0,0
1,0,1,1,0,0,1,1,1,1,1,0,1,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,0,0,1,1,1,1,1,0,0,1,0
0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,0,1,0,1,0,1,0,1,0,1,1,1,1,1
1,1,0,0,1,1,1,0,1,0,1,1,1,0,0
1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,0,1,1,1,1,0,1,0,0
1,0,1,1,0,0,1,1,1,1,0,0,1,1,0
1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
0,1,1,0,1,0,1,1,1,1,1,0,1,1,0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
0,1,1,0,1,1,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1,0,1,1,1,0,0,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
0,0,1,1,1,1,1,0,1,1,0,1,1,1,0
1,0,1,1,0,1,1,1,0,1,0,0,1,1,0
0,1,1,0,1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
1,0,1,1,0,1,1,1,1,1,1,1,0,0,0
1,0,0,1,0,1,1,0,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,0,1,1,0,0,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
0,0,1,1,1,1,1,0,1,1,1,0,1,1,1
0,1,0,0,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,0,0,1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,0,0,1,0,1,1,0
1,0,1,1,1,0,0,1,0,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,0,1,1,0,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,0,1,0,1,1,0,1,1,1,1,1,0
1,1,1,0,0,1,1,1,0,0,0,1,1,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,0,0,0,1,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,0,0,1,1,1,1,1,0,0,0
0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
1,0,0,1,1,0,1,1,0,1,0,1,1,1,0
1,1,0,0,1,0,0,1,1,0,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,0,1,0,1,0,1,0,0,1,1,1,1
1,1,1,0,1,1,1,0,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0,1,0,1,1,1,1,0
1,0,0,1,1,1,1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,1,0,0,1,1,1,1,0
1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1,0,0,1,0,1,0,1,1,1,0,1,0,1,0
1,0,1,1,0,1,1,0,1,0,1,1,0,1,0
0,0,0,0,0,1,0,1,1,1,1,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
1,0,0,1,1,1,1,1,0,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
1,1,0,1,1,1,0,0,1,0,1,1,1,0,0
1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
1,0,0,1,1,1,0,1,1,1,0,1,1,1,0
0,0,1,1,0,1,1,1,1,1,1,0,1,1,0
1,0,1,1,1,1,1,1,0,0,1,1,1,0,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,1,0,1,0,0,1,1,1,1,0,1,1,0,0
1,0,0,0,1,0,0,1,0,1,1,1,1,1,0
1,1,1,0,0,0,1,0,1,1,1,0,1,1,0
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,0,0,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,1,0,0,1,1,1,0,1,0,1,1,1,1,0
1,0,1,1,1,1,1,0,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
